,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Data/BI Solution Architect,"https://www.pracuj.pl/praca/data-bi-solution-architect-warszawa-aleje-jerozolimskie-123a,oferta,1003023898",,,,"We are seeking an experienced Data/BI Solution Architect with a comprehensive understanding of business intelligence solution architecture, data warehousing, ETL processes, and web development., The ideal candidate should be proficient in the full...",,"['SQL', 'AWS', 'ETL', 'BI', 'DWH']",python,2023-12-07
1,Data Scientist,"https://www.pracuj.pl/praca/data-scientist-wroclaw,oferta,1002993832",,,,,,"['SQL', 'MySQL', 'PostgreSQL', 'HBase', 'DynamoDB', 'MongoDB', 'Apache Spark', 'Apache Flink', 'Python', 'R']",python,2023-12-07
2,Senior Backend Developer (Python),"https://www.pracuj.pl/praca/senior-backend-developer-python-warszawa,oferta,1003002229",,,27 720–31 080 zł netto (+ VAT) / mies.,"Currently we are looking for Senior Backend Developer with strong knowledge and experience working with Python., , You will join a new team focusing on developing a greenfield product in the probabilistic graph modelling domain., The team is...",,"['Python', 'Flask', 'Swagger', 'OpenAPI', 'SQL', 'NoSQL', 'Pandas', 'Numpy', 'Dask', 'Spark', 'AWS']",python,2023-12-07
3,Data Analyst with Python,"https://www.pracuj.pl/praca/data-analyst-with-python-warszawa-prosta-67,oferta,1002975552",,,,,,"['Python', 'Pandas', 'Numpy', 'Regex', 'SQL']",python,2023-12-07
4,Data Scientist/ AI Engineer,"https://www.pracuj.pl/praca/data-scientist-ai-engineer-gdynia-luzycka-8a,oferta,1003004630",,,,,,"['Python', 'TensorFlow', 'Keras', 'Pandas', 'Microsoft Azure', 'Google Cloud Platform', 'AWS', 'Git']",python,2023-12-07
5,Data Analyst / Scientist,"https://www.pracuj.pl/praca/data-analyst-scientist-warszawa-chlodna-51,oferta,1002974140",,,,,,"['Python', 'Pandas', 'NumPy', 'scikit-learn', 'SQL']",python,2023-12-07
6,PL/SQL Developer - DWH Engineer,"https://www.pracuj.pl/praca/pl-sql-developer-dwh-engineer-warszawa-chlodna-51,oferta,1002991593",,,90–130 zł netto (+ VAT) / godz.,,,['SQL'],python,2023-12-07
7,Data Scientist,"https://www.pracuj.pl/praca/data-scientist-wroclaw-plac-konstytucji-3-maja-3,oferta,1002947846",,,12 000–17 600 zł / mies. (zal. od umowy),"Jako Data Scientist, będziesz odpowiedzialny za rozwijanie i implementowanie wysokiej jakości modeli ML, które będą miały wpływ na najważniejsze aspekty naszego biznesu. Będziesz pracować blisko zespołów biznesowych i technicznych aby zrozumieć...",,"['Python', 'SQL']",python,2023-12-07
8,Senior Fullstack Developer (Python/React/AWS),"https://www.pracuj.pl/praca/senior-fullstack-developer-python-react-aws-warszawa,oferta,1002998101",,,30 240–35 280 zł netto (+ VAT) / mies.,"We are looking for the Senior Senior Fullstack Developer with React, Python and AWS experience., , You will work across both the front-end UI and backend API as required, coordinating with the team to provide the necessary application ...",,"['Python', 'React.js', 'AWS', 'JavaScript', 'TypeScript', 'HTML', 'Pandas', 'Numpy', 'Dask', 'Spark', 'Terraform', 'GitLab', 'Docker']",python,2023-12-07
9,Analityk Rynku Energii - Python,"https://www.pracuj.pl/praca/analityk-rynku-energii-python-warszawa-wybrzeze-kosciuszkowskie-43b,oferta,1003020411",,,,,,"['R', 'Python']",python,2023-12-07
